city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Santiago,-33.4372,-70.6506,Chile,CL,Región Metropolitana,primary,7171000,236453
Concepción,-36.8282,-73.0514,Chile,CL,Biobío,admin,719944,217537
Puente Alto,-33.6167,-70.5667,Chile,CL,Región Metropolitana,minor,573935,573935
Maipú,-33.5167,-70.7667,Chile,CL,Región Metropolitana,,521627,521627
La Florida,-33.5333,-70.5833,Chile,CL,Región Metropolitana,,366916,366916
Antofagasta,-23.6500,-70.4000,Chile,CL,Antofagasta,admin,348517,348517
Viña del Mar,-33.0244,-71.5517,Chile,CL,Valparaíso,,332875,332875
San Bernardo,-33.5833,-70.7000,Chile,CL,Región Metropolitana,minor,301313,301313
Valparaíso,-33.0461,-71.6197,Chile,CL,Valparaíso,admin,296655,296655
Temuco,-38.7333,-72.6667,Chile,CL,Araucanía,admin,282415,282415
Las Condes,-33.4117,-70.5500,Chile,CL,Región Metropolitana,,249893,249893
Rancagua,-34.1667,-70.7500,Chile,CL,Libertador General Bernardo O’Higgins,admin,231370,231370
Peñalolén,-33.4833,-70.5500,Chile,CL,Región Metropolitana,,216060,216060
Quilicura,-33.3667,-70.7333,Chile,CL,Región Metropolitana,,210410,210410
Talca,-35.4269,-71.6656,Chile,CL,Maule,admin,206069,206069
Coquimbo,-29.9531,-71.3433,Chile,CL,Coquimbo,minor,204068,204068
Arica,-18.4667,-70.3167,Chile,CL,Arica y Parinacota,admin,202131,202131
La Serena,-29.9000,-71.2500,Chile,CL,Coquimbo,admin,195382,195382
Iquique,-20.2167,-70.1500,Chile,CL,Tarapacá,admin,188003,188003
La Pintana,-33.5833,-70.6333,Chile,CL,Región Metropolitana,,177335,177335
El Bosque,-33.5667,-70.6750,Chile,CL,Región Metropolitana,,175594,175594
Puerto Montt,-41.4667,-72.9333,Chile,CL,Los Lagos,admin,169736,169736
Chillán,-36.6067,-72.1033,Chile,CL,Ñuble,admin,164270,164270
Calama,-22.4667,-68.9333,Chile,CL,Antofagasta,minor,157575,157575
Copiapó,-27.3664,-70.3331,Chile,CL,Atacama,admin,150804,150804
Valdivia,-39.8139,-73.2458,Chile,CL,Los Ríos,admin,150048,150048
Quilpué,-33.0500,-71.4500,Chile,CL,Valparaíso,minor,147991,147991
Talcahuano,-36.7167,-73.1219,Chile,CL,Biobío,,147831,147831
